# RX Frame to Height Mapping (from list_of_heights.txt)
# Format: <frame bytes>   <height>
# Height starts at 62.0, increments by 0.1 until 99.9, then by 1.0
 
B4 3A E8 3F B3 20   78.4
B4 3A E8 BF B6 20   78.5
B4 3A E8 BF BE 20   78.6
B4 3A E8 BF 83 20   78.7
B4 3A E8 BF BF 20   78.8
B4 3A E8 BF B7 20   78.9
B4 3A E8 BD 9F 20   79.0
B4 3A E8 3D 83 20   79.1
B4 3A E8 BD AD 20   79.2
B4 3A E8 BD A7 20   79.3
B4 3A E8 3D B3 20   79.4
B4 3A E8 BD B6 20   79.5
B4 3A E8 BD BE 20   79.6
B4 3A E8 BD 83 20   79.7
B4 3A E8 BD BF 20   79.8
B4 3A E8 BD B7 20   79.9
B4 FA EB B7 9F 20   80.0
B4 FA EB 37 83 20   80.1
B4 FA EB B7 AD 20   80.2
B4 FA EB B7 A7 20   80.3
B4 FA EB 37 B3 20   80.4
B4 FA EB B7 B6 20   80.5
B4 FA EB B7 BE 20   80.6
B4 FA EB B7 83 20   80.7
B4 FA EB B7 BF 20   80.8
B4 FA EB B7 B7 20   80.9
B4 FA CB B0 9F 20   81.0
B4 FA CB 30 83 20   81.1
B4 FA CB B0 AD 20   81.2
B4 FA CB B0 A7 20   81.3
B4 FA CB 30 B3 20   81.4
B4 FA CB B0 B6 20   81.5
B4 FA CB B0 BE 20   81.6
B4 FA CB B0 83 20   81.7
B4 FA CB B0 BF 20   81.8
B4 FA CB B0 B7 20   81.9
B4 FA 6B BB 9F 20   82.0
B4 FA 6B 3B 83 20   82.1
B4 FA 6B BB AD 20   82.2
B4 FA 6B BB A7 20   82.3
B4 FA 6B 3B B3 20   82.4
B4 FA 6B BB B6 20   82.5
B4 FA 6B BB BE 20   82.6
B4 FA 6B BB 83 20   82.7
B4 FA 6B BB BF 20   82.8
B4 FA 6B BB B7 20   82.9
B4 FA EB B9 9F 20   83.0
B4 FA EB 39 83 20   83.1
B4 FA EB B9 AD 20   83.2
B4 FA EB B9 A7 20   83.3
B4 FA EB 39 B3 20   83.4
B4 FA EB B9 B6 20   83.5
B4 FA EB B9 BE 20   83.6
B4 FA EB B9 83 20   83.7
B4 FA EB B9 BF 20   83.8
B4 FA EB B9 B7 20   83.9
B4 FA CB BC 9F 20   84.0
B4 FA CB 3C 83 20   84.1
B4 FA CB BC AD 20   84.2
B4 FA CB BC A7 20   84.3
B4 FA CB 3C B3 20   84.4
B4 FA CB BC B6 20   84.5
B4 FA CB BC BE 20   84.6
B4 FA CB BC 83 20   84.7
B4 FA CB BC BF 20   84.8
B4 FA CB BC B7 20   84.9
B4 FA AB BD 9F 20   85.0
B4 FA AB 3D 83 20   85.1
B4 FA AB BD AD 20   85.2
B4 FA AB BD A7 20   85.3
B4 FA AB 3D B3 20   85.4
B4 FA AB BD B6 20   85.5
B4 FA AB BD BE 20   85.6
B4 FA AB BD 83 20   85.7
B4 FA AB BD BF 20   85.8
B4 FA AB BD B7 20   85.9
B4 FA AB BF 9F 20   86.0
B4 FA AB 3F 83 20   86.1
B4 FA AB BF AD 20   86.2
B4 FA AB BF A7 20   86.3
B4 FA AB 3F B3 20   86.4
B4 FA AB BF B6 20   86.5
B4 FA AB BF BE 20   86.6
B4 FA AB BF 83 20   86.7
B4 FA AB BF BF 20   86.8
B4 FA AB BF B7 20   86.9
B4 FA EB B0 9F 20   87.0
B4 FA EB 30 83 20   87.1
B4 FA EB B0 AD 20   87.2
B4 FA EB B0 A7 20   87.3
B4 FA EB 30 B3 20   87.4
B4 FA EB B0 B6 20   87.5
B4 FA EB B0 BE 20   87.6
B4 FA EB B0 83 20   87.7
B4 FA EB B0 BF 20   87.8
B4 FA EB B0 B7 20   87.9
B4 FA EB BF 9F 20   88.0
B4 FA EB 3F 83 20   88.1
B4 FA EB BF AD 20   88.2
B4 FA EB BF A7 20   88.3
B4 FA EB 3F B3 20   88.4
B4 FA EB BF B6 20   88.5
B4 FA EB BF BE 20   88.6
B4 FA EB BF 83 20   88.7
B4 FA EB BF BF 20   88.8
B4 FA EB BF B7 20   88.9
B4 FA EB BD 9F 20   89.0
B4 FA EB 3D 83 20   89.1
B4 FA EB BD AD 20   89.2
B4 FA EB BD A7 20   89.3
B4 FA EB 3D B3 20   89.4
B4 FA EB BD B6 20   89.5
B4 FA EB BD BE 20   89.6
B4 FA EB BD 83 20   89.7
B4 FA EB BD BF 20   89.8
B4 FA EB BD B7 20   89.9
B4 7A EB B7 9F 20   90.0
B4 7A EB 37 83 20   90.1
B4 7A EB B7 AD 20   90.2
B4 7A EB B7 A7 20   90.3
B4 7A EB 37 B3 20   90.4
B4 7A EB B7 B6 20   90.5
B4 7A EB B7 BE 20   90.6
B4 7A EB B7 83 20   90.7
B4 7A EB B7 BF 20   90.8
B4 7A EB B7 B7 20   90.9
B4 7A CB B0 9F 20   91.0
B4 7A CB 30 83 20   91.1
B4 7A CB B0 AD 20   91.2
B4 7A CB B0 A7 20   91.3
B4 7A CB 30 B3 20   91.4
B4 7A CB B0 B6 20   91.5
B4 7A CB B0 BE 20   91.6
B4 7A CB B0 83 20   91.7
B4 7A CB B0 BF 20   91.8
B4 7A CB B0 B7 20   91.9
B4 7A 6B BB 9F 20   92.0
B4 7A 6B 3B 83 20   92.1
B4 7A 6B BB AD 20   92.2
B4 7A 6B BB A7 20   92.3
B4 7A 6B 3B B3 20   92.4
B4 7A 6B BB B6 20   92.5
B4 7A 6B BB BE 20   92.6
B4 7A 6B BB 83 20   92.7
B4 7A 6B BB BF 20   92.8
B4 7A 6B BB B7 20   92.9
B4 7A EB B9 9F 20   93.0
B4 7A EB 39 83 20   93.1
B4 7A EB B9 AD 20   93.2
B4 7A EB B9 A7 20   93.3
B4 7A EB 39 B3 20   93.4
B4 7A EB B9 B6 20   93.5
B4 7A EB B9 BE 20   93.6
B4 7A EB B9 83 20   93.7
B4 7A EB B9 BF 20   93.8
B4 7A EB B9 B7 20   93.9
B4 7A CB BC 9F 20   94.0
B4 7A CB 3C 83 20   94.1
B4 7A CB BC AD 20   94.2
B4 7A CB BC A7 20   94.3
B4 7A CB 3C B3 20   94.4
B4 7A CB BC B6 20   94.5
B4 7A CB BC BE 20   94.6
B4 7A CB BC 83 20   94.7
B4 7A CB BC BF 20   94.8
B4 7A CB BC B7 20   94.9
B4 7A AB BD 9F 20   95.0
B4 7A AB 3D 83 20   95.1
B4 7A AB BD AD 20   95.2
B4 7A AB BD A7 20   95.3
B4 7A AB 3D B3 20   95.4
B4 7A AB BD B6 20   95.5
B4 7A AB BD BE 20   95.6
B4 7A AB BD 83 20   95.7
B4 7A AB BD BF 20   95.8
B4 7A AB BD B7 20   95.9
B4 7A AB BF 9F 20   96.0
B4 7A AB 3F 83 20   96.1
B4 7A AB BF AD 20   96.2
B4 7A AB BF A7 20   96.3
B4 7A AB 3F B3 20   96.4
B4 7A AB BF B6 20   96.5
B4 7A AB BF BE 20   96.6
B4 7A AB BF 83 20   96.7
B4 7A AB BF BF 20   96.8
B4 7A AB BF B7 20   96.9
B4 7A EB B0 9F 20   97.0
B4 7A EB 30 83 20   97.1
B4 7A EB B0 AD 20   97.2
B4 7A EB B0 A7 20   97.3
B4 7A EB 30 B3 20   97.4
B4 7A EB B0 B6 20   97.5
B4 7A EB B0 BE 20   97.6
B4 7A EB B0 83 20   97.7
B4 7A EB B0 BF 20   97.8
B4 7A EB B0 B7 20   97.9
B4 7A EB BF 9F 20   98.0
B4 7A EB 3F 83 20   98.1
B4 7A EB BF AD 20   98.2
B4 7A EB BF A7 20   98.3
B4 7A EB 3F B3 20   98.4
B4 7A EB BF B6 20   98.5
B4 7A EB BF BE 20   98.6
B4 7A EB BF 83 20   98.7
B4 7A EB BF BF 20   98.8
